Platform,Retweets,Likes,Country,Hour,Hashtag_1,Hashtag_2,Sentiment_Group,Part_of_Day
Instagram,22,45, India ,12,Curiosity,TreasuresOfDiscovery,Curiosity,Afternoon
Facebook,28,55, Germany ,21,Gratitude,ShowerOfThankfulness,Positive,Night
Twitter,18,35, France ,16,Inspiration,BrilliantTrails,Positive,Evening
Instagram,22,45, Japan ,22,Success,NightSkyTriumph,Positive,Night
Facebook,30,60, Brazil ,19,Happiness,BoundlessLaughter,Positive,Evening
Instagram,35,70, South Africa ,15,Thrill,WildHeartRide,Excitement,Afternoon
Twitter,28,55, France ,17,Reflection,ParisianDreams,Calm,Evening
Instagram,30,60, USA ,15,Enchantment,ChildhoodFantasies,Curiosity,Afternoon
Facebook,22,45, Italy ,14,Excitement,SymphonyOfSpeed,Positive,Afternoon
Instagram,35,70, Netherlands ,18,Joy,SpringtimeColors,Positive,Evening
Twitter,18,35, Japan ,21,Exploration,JapaneseTraditions,Curiosity,Night
Instagram,25,50, USA ,16,Awe,EarthsGrandeur,Positive,Evening
Facebook,22,45, Greece ,19,Serenity,SunsetHues,Positive,Evening
Twitter,30,60, Jordan ,13,Amazement,AncientTales,Curiosity,Afternoon
Instagram,20,40, Italy ,16,Romance,TimelessCity,Positive,Evening
Facebook,28,55, Peru ,22,Awe,AncientCivilizations,Positive,Night
Instagram,35,70, USA ,21,Excitement,UrbanEnergy,Positive,Night
Twitter,25,50, Italy ,17,Captivation,GladiatorTales,Curiosity,Evening
Facebook,22,45, Maldives ,14,Serenity,ParadiseWhispers,Positive,Afternoon
Instagram,30,60, Brazil ,16,Wonder,NatureOrchestra,Curiosity,Evening
Twitter,18,35, China ,19,Awe,EngineeringMarvels,Positive,Evening
Facebook,28,55, Japan ,5,Accomplishment,SunriseHues,Positive,Early Morning
Instagram,20,40, Cambodia ,13,Exploration,KhmerStories,Curiosity,Afternoon
Twitter,22,45, Switzerland ,14,Adventure,SnowPeakDance,Curiosity,Afternoon
Facebook,25,50, Japan ,16,Tranquility,ZenWisdom,Positive,Evening
Instagram,22,45, Norway ,18,Grandeur,IcyMasterpiece,Curiosity,Evening
Instagram,40,80, USA ,20,Emotion,AdeleConcert,Mixed,Night
Twitter,35,70, USA ,21,Energy,BeyonceConcert,Excitement,Night
Facebook,30,60, USA ,19,Enchantment,TaylorSwift,Curiosity,Evening
Instagram,22,45, UK ,22,Nostalgia,QueenTribute,Mixed,Night
Twitter,18,35, UK ,19,Serenity,EdSheeranConcert,Positive,Evening
Facebook,28,55, USA ,20,Joy,BrunoMars,Positive,Night
Instagram,25,50, USA ,21,Celebration,MJTribute,Excitement,Night
Twitter,22,45, USA ,18,Charm,SinatraTribute,Other,Evening
Facebook,35,70, USA ,22,Ecstasy,MetallicaConcert,Excitement,Night
Instagram,30,60, UK ,19,Hope,ColdplayMagic,Positive,Evening
Instagram,40,80, Canada ,20,Enthusiasm,JustinBieber,Positive,Night
Twitter,35,70, USA ,21,Creativity,LadyGaga,Positive,Night
Facebook,30,60, UK ,19,Emotion,AdeleMelodies,Mixed,Evening
Instagram,22,45, USA ,22,Colorful,KatyPerry,Other,Night
Twitter,18,35, USA ,20,Pride,JayZAnthem,Positive,Night
Facebook,28,55, Colombia ,21,Hypnotic,ShakiraRhythms,Curiosity,Night
Instagram,25,50, Ireland ,19,Connection,U2Anthem,Positive,Evening
Twitter,22,45, USA ,22,Iconic,GNRConcert,Excitement,Night
Facebook,35,70, USA ,20,Euphoria,ArianaGrande,Positive,Night
Instagram,30,60, Jamaica ,18,Journey,BobMarleyTribute,Excitement,Evening
Twitter,40,80, USA ,20,Excitement,MoviePremiereThrills,Positive,Night
Instagram,35,70, UK ,22,Nostalgia,ClassicFilmMoments,Mixed,Night
Facebook,30,60, Canada ,19,Engagement,WebSeriesJourney,Positive,Evening
Twitter,22,45, Australia ,21,Pride,IndieFilmSuccess,Positive,Night
Instagram,28,55, India ,18,Touched,FamilyDramaMoments,Positive,Evening
Facebook,18,35, USA ,20,Gratitude,OscarWinningMoment,Positive,Night
Twitter,22,45, France ,17,Inspiration,HiddenGemDiscovery,Positive,Evening
Instagram,28,55, Germany ,21,Contemplation,DeepMeanings,Calm,Night
Facebook,35,70, Japan ,22,Suspense,CrimeSeriesThrills,Mixed,Night
Twitter,22,45, Brazil ,19,Satisfaction,FulfillingEnding,Positive,Evening
Instagram,40,80, Brazil ,21,Joy,WorldCupTriumph,Positive,Night
Twitter,35,70, USA ,19,Inspiration,OlympicAchievement,Positive,Evening
Facebook,30,60, India ,22,Excitement,CricketChampionship,Positive,Night
Instagram,22,45, Kenya ,17,Admiration,MarathonRecords,Positive,Evening
Twitter,28,55, UK ,20,Captivation,TennisRivalry,Curiosity,Night
Facebook,18,35, USA ,21,Triumph,BasketballFinals,Excitement,Night
Instagram,22,45, Scotland ,18,Awe,GolfVictory,Positive,Evening
Twitter,28,55, Germany ,19,Thrill,Formula1Championship,Excitement,Evening
Facebook,35,70, Italy ,22,Determination,CyclingChampion,Other,Night
Instagram,22,45, Canada ,20,Heartwarming,HockeyFinalsComeback,Positive,Night
Twitter,40,80, Brazil ,18,Disappointment,SoccerDefeats,Negative,Evening
Instagram,35,70, USA ,21,Frustration,TennisSetback,Negative,Night
Facebook,30,60, UK ,19,Reflection,BoxingDefeat,Calm,Evening
Twitter,22,45, France ,22,Obstacle,CyclingFrustration,Negative,Night
Instagram,28,55, Japan ,20,Sympathy,GymnasticsFall,Other,Night
Facebook,18,35, USA ,18,Pressure,GolfDefeat,Negative,Evening
Twitter,22,45, Canada ,19,RenewedEffort,BasketballStruggles,Other,Evening
Instagram,28,55, Australia ,20,Miscalculation,SwimmingDisappointment,Negative,Night
Facebook,35,70, Germany ,21,Challenge,WeightliftingFailure,Excitement,Night
Twitter,22,45, Spain ,20,Despair,OwnGoal,Negative,Night
Instagram,40,80, Canada ,19,Tranquility,SunsetBeauty,Positive,Evening
Twitter,35,70, USA ,20,Adventure,RoadTripMemories,Curiosity,Night
Facebook,30,60, France ,18,Solace,CafeReflection,Calm,Evening
Instagram,22,45, Brazil ,21,Creativity,StreetArtVibes,Positive,Night
Twitter,28,55, Germany ,16,Breakthrough,ScientificDiscovery,Positive,Evening
Facebook,18,35, UK ,19,Harmony,OrchestraMelody,Positive,Evening
Instagram,22,45, India ,17,JoyInBaking,HomemadeDelights,Other,Evening
Twitter,28,55, Italy ,18,EnvisioningHistory,MuseumTales,Curiosity,Evening
Facebook,35,70, Japan ,20,Imagination,LiteraryEscape,Curiosity,Night
Instagram,22,45, Australia ,21,Vibrancy,MarketStories,Excitement,Night
Twitter,40,80, USA ,22,Mesmerizing,NightDancePerformance,Curiosity,Night
Instagram,35,70, Thailand ,19,CulinaryAdventure,StreetFoodDelights,Curiosity,Evening
Facebook,30,60, Canada ,17,WinterMagic,SnowyLandscapes,Other,Evening
Twitter,22,45, UK ,21,ThrillingJourney,MysteryNovel,Excitement,Night
Instagram,28,55, Australia ,18,NaturesBeauty,FloralJoy,Curiosity,Evening
Facebook,18,35, USA ,20,CelestialWonder,Stargazing,Curiosity,Night
Twitter,22,45, France ,19,CreativeInspiration,CoffeeJourney,Curiosity,Evening
Instagram,28,55, Italy ,21,RunwayCreativity,FashionInnovation,Curiosity,Night
Facebook,22,45, Brazil ,18,OceansFreedom,SurfingThrills,Curiosity,Evening
Twitter,35,70, Greece ,20,WhispersOfThePast,HistoricalTour,Calm,Night
Twitter,15,30, USA,19,CrushStruggles,AvoidingEyeContact,Positive,Evening
Instagram,18,35, Canada,21,SnackCrisis,TeenLife,Neutral,Night
Facebook,22,45, UK,14,SelfieStruggle,TeenConfessions,Positive,Afternoon
Twitter,20,40, USA,16,TeenProblems,LostHeadphones,Negative,Evening
Instagram,25,50, Canada,13,StudyingMemes,TeenLife,Curiosity,Afternoon
Facebook,20,40, USA,19,WeekendOops,TeenFashion,Neutral,Evening
Twitter,28,55, UK,14,TeenSuccess,ProjectMiracle,Positive,Afternoon
Instagram,22,45, Canada,21,TeenChef,CookingFail,Negative,Night
Facebook,18,35, USA,12,ClassEvent,TeenExcitement,Curiosity,Afternoon
Twitter,30,60, UK,23,BookDiscoveries,TeenReading,Positive,Night
Instagram,22,45, USA,20,GameOn,TeenGamer,Positive,Night
Facebook,35,70, Canada,15,BingeWatchDay,TeenLife,Positive,Afternoon
Twitter,20,40, USA,18,FashionGoals,TeenStyle,Positive,Evening
Instagram,28,55, UK,14,InstrumentLearning,TeenMusic,Negative,Afternoon
Facebook,22,45, Canada,21,MusicTherapy,TeenPlaylist,Positive,Night
Twitter,25,50, USA,19,CookingSuccess,TeenCook,Positive,Evening
Instagram,18,35, UK,10,GetawayGoals,TeenTravel,Positive,Morning
Facebook,28,55, Canada,22,MusicMagic,TeenConcert,Positive,Night
Twitter,22,45, USA,12,ChildhoodMemories,TeenCartoons,Positive,Afternoon
Instagram,35,70, UK,16,DIYGoals,TeenCreative,Positive,Evening
Facebook,20,40, USA,14,CulturalDay,TeenCuriosity,Curiosity,Afternoon
Twitter,30,60, Canada,17,BloggingJourney,TeenThoughts,Curiosity,Evening
Instagram,35,70, USA,15,QuietMoments,BookishEscape,Positive,Afternoon
Twitter,28,55, UK,18,AgingGracefully,Memories,Positive,Evening
Facebook,22,45, Canada,14,ArtDiscovery,SeniorArtist,Curiosity,Afternoon
Instagram,25,50, USA,19,HappinessInFood,SeniorLife,Positive,Evening
Twitter,30,60, UK,12,MindEnrichment,SeniorLearning,Curiosity,Afternoon
Facebook,18,35, Canada,21,MusicLover,SeniorConcert,Positive,Night
Instagram,35,70, USA,15,NatureCapture,SeniorMoments,Positive,Afternoon
Twitter,28,55, UK,11,FriendshipGoals,SeniorBonding,Positive,Morning
Facebook,22,45, Canada,16,CherishedPlaces,SeniorTravel,Positive,Evening
Instagram,20,40, USA,14,MusicHarmony,SeniorVoices,Positive,Afternoon
Twitter,18,35, UK,19,MindfulLiving,SeniorCalm,Positive,Evening
Facebook,25,50, USA,13,NatureWonders,SeniorGarden,Positive,Afternoon
Instagram,28,55, UK,18,LifeWellLived,SeniorWine,Positive,Evening
Twitter,22,45, Canada,16,CreativityAtAnyAge,SeniorCreativity,Positive,Evening
Facebook,35,70, USA,20,LifetimeExperiences,SeniorMemoir,Positive,Night
Instagram,30,60, UK,14,LifetimeAdventure,SeniorCuriosity,Curiosity,Afternoon
Twitter,20,40, USA,17,KitchenMemories,SeniorCulinary,Positive,Evening
Facebook,18,35, UK,22,OutdoorBeauty,SeniorClicks,Positive,Night
Instagram,25,50, USA,16,TimelessTunes,SeniorJazz,Positive,Evening
Twitter,28,55, UK,19,SoulfulWriting,SeniorReflections,Positive,Evening
Instagram,30,60, USA,14,DiscoverNewPlaces,SeniorTravel,Positive,Afternoon
Facebook,22,45, UK,18,RoadTripDownMemoryLane,SeniorCars,Positive,Evening
Twitter,28,55, Canada,12,GardenFriends,SeniorGreenThumb,Positive,Afternoon
Instagram,35,70, USA,17,HeartwarmingMoments,SeniorFamily,Positive,Evening
Twitter,18,35, UK,20,DanceLife,SeniorMoves,Positive,Night
Facebook,25,50, USA,14,CreativeExpressions,SeniorArt,Positive,Afternoon
Instagram,22,45, UK,19,BookishTalks,SeniorBookworms,Positive,Evening
Twitter,30,60, Canada,16,FriendshipSunshine,SeniorMemories,Positive,Evening
Facebook,20,40, USA,22,StagePassion,SeniorTheater,Positive,Night
Instagram,28,55, UK,14,NatureTrailBlazer,SeniorExplorer,Positive,Afternoon
Twitter,22,45, Canada,18,LifeInPictures,SeniorExhibition,Positive,Evening
Facebook,25,50, USA,13,OpenRoadAdventures,SeniorCycling,Positive,Afternoon
Instagram,35,70, UK,20,AgedToPerfection,SeniorCheers,Positive,Night
Twitter,20,40, USA,16,GracefulMoves,SeniorDance,Positive,Evening
Facebook,28,55, Canada,19,CommunityArt,SeniorCreativity,Positive,Evening
Instagram,30,60, USA,14,FriendshipAdventures,SeniorNostalgia,Positive,Afternoon
Twitter,18,35, UK,22,CelestialWonders,SeniorAstronomy,Curiosity,Night
Facebook,25,50, USA,16,TimelessTunes,SeniorJazz,Positive,Evening
Instagram,22,45, UK,19,LifeLessons,SeniorBlog,Positive,Evening
Twitter,30,60, Canada,17,RunForACause,SeniorSupport,Positive,Evening
Instagram,20,40, USA,13,PhysicsSurvivor,HighSchoolAdventures,Positive,Afternoon
Twitter,25,50, UK,14,CodingAdventure,HighSchoolCoderLife,Positive,Afternoon
Facebook,18,35, Canada,12,DebateWarrior,HighSchoolDebater,Positive,Afternoon
Instagram,22,45, USA,16,PhotographyClub,HighSchoolPhotographer,Positive,Evening
Twitter,30,60, Canada,19,PromDreams,HighSchoolFairytale,Positive,Evening
Facebook,28,55, USA,14,OutdoorClassroom,HighSchoolExplorer,Positive,Afternoon
Instagram,22,45, UK,19,ArtisticMishaps,HighSchoolArt,Negative,Evening
Twitter,30,60, Canada,16,SkaterLife,HighSchoolSkater,Positive,Evening
Facebook,20,40, USA,22,KpopFangirl,HighSchoolMusic,Positive,Night
Instagram,28,55, UK,14,ChemistryWizard,HighSchoolScientist,Positive,Afternoon
Twitter,22,45, Canada,18,BirthdayParty,HighSchoolCelebration,Positive,Evening
Facebook,25,50, USA,13,DramaClubStar,HighSchoolActor,Positive,Afternoon
Instagram,35,70, UK,20,FantasyBookNerd,HighSchoolReader,Positive,Night
Twitter,20,40, USA,16,DoodleMaster,HighSchoolArt,Positive,Evening
Facebook,28,55, Canada,19,HandstandChallenge,HighSchoolAthlete,Positive,Evening
Instagram,30,60, USA,14,SnackSmuggler,HighSchoolSnacks,Mixed,Afternoon
Twitter,18,35, UK,22,SleepoverFun,HighSchoolMemories,Positive,Night
Facebook,25,50, USA,16,DanceFail,HighSchoolTikTok,Negative,Evening
Instagram,22,45, UK,19,SocialMediaBlunder,HighSchoolAwkward,Negative,Evening
Twitter,30,60, Canada,17,CrushFail,HighSchoolEmbarrassment,Negative,Evening
Instagram,15,30, USA,15,PaperPlaneExpert,HighSchoolArt,Positive,Afternoon
Facebook,22,40, Canada,12,TextbookJuggling,HighSchoolSkills,Positive,Afternoon
Twitter,28,55, USA,16,SnackNinja,HighSchoolSnacks,Mixed,Evening
Instagram,20,38, UK,18,SurpriseAdventure,HighSchoolFun,Positive,Evening
Facebook,25,50, Canada,14,RainDance,HighSchoolJoy,Positive,Afternoon
Twitter,18,35, USA,17,TextingFail,HighSchoolAwkward,Negative,Evening
Instagram,22,45, UK,20,MagicFail,HighSchoolMagic,Negative,Night
Twitter,18,36, USA,16,OrigamiMaster,HighSchoolArt,Positive,Evening
Instagram,26,48, Canada,13,HackySackChallenge,HighSchoolAthlete,Positive,Afternoon
Facebook,20,40, USA,17,FriendshipGoals,HighSchoolMemories,Positive,Evening
Twitter,24,42, UK,20,BurgerQuest,HighSchoolFoodie,Positive,Night
Instagram,21,39, Canada,14,StandUpComedy,HighSchoolTalent,Positive,Afternoon
Facebook,17,33, USA,18,LoveLetterFail,HighSchoolAwkward,Negative,Evening
Twitter,23,44, UK,22,ScienceGeek,HighSchoolExperiments,Positive,Night
Instagram,19,37, USA,15,FriendshipBracelets,HighSchoolCrafts,Positive,Afternoon
Twitter,27,52, Canada,12,CartwheelChallenge,HighSchoolAthlete,Positive,Afternoon
Facebook,22,43, UK,16,MovieNight,HighSchoolMemories,Positive,Evening
Instagram,20,39, USA,18,HairExperiment,HighSchoolStyle,Positive,Evening
Facebook,26,48, Canada,14,TimeCapsule,HighSchoolNostalgia,Positive,Afternoon
Twitter,16,32, USA,17,FirstDayOops,HighSchoolEmbarrassment,Negative,Evening
Instagram,23,42, UK,20,HealthyLiving,HighSchoolWellness,Positive,Night
Twitter,15,28, USA,15,SchoolChallenges,HighSchoolStruggles,Negative,Afternoon
Instagram,18,36, Canada,12,OnlineHate,HighSchoolReality,Negative,Afternoon
Facebook,20,40, UK,16,BadDay,HighSchoolBlues,Negative,Evening
Twitter,17,34, USA,18,Disappointment,HighSchoolSports,Negative,Evening
Instagram,21,41, Canada,14,CafeteriaDrama,HighSchoolTension,Negative,Afternoon
Facebook,19,38, UK,17,AcademicFrustration,HighSchoolStress,Negative,Evening
Twitter,22,44, USA,20,LifeChallenges,HighSchoolStruggles,Negative,Night
Instagram,16,31, Canada,22,LonelyNights,HighSchoolEmotions,Negative,Night
Facebook,14,27, UK,15,StopCyberbullying,HighSchoolReality,Negative,Afternoon
Twitter,18,35, USA,12,BadLuck,HighSchoolWeather,Negative,Afternoon
Instagram,20,39, Canada,16,MissedChances,HighSchoolRegret,Negative,Evening
Facebook,23,46, UK,18,RumorMills,HighSchoolDrama,Negative,Evening
Twitter,25,50, USA,14,BadLuckDay,HighSchoolStruggles,Negative,Afternoon
Instagram,21,42, Canada,17,SayingGoodbye,HighSchoolEmotions,Negative,Evening
Facebook,19,37, UK,20,CollegeDreams,HighSchoolJourney,Negative,Night
Twitter,16,32, USA,14,OnlineGaming,HighSchoolGamer,Negative,Afternoon
Instagram,18,36, Canada,17,BadHairDay,HighSchoolConfidence,Negative,Evening
Facebook,21,41, UK,22,ProjectStruggles,HighSchoolHardships,Negative,Night
Twitter,24,48, USA,15,OnlineOpinions,HighSchoolCriticism,Negative,Afternoon
Instagram,22,43, Canada,18,TechIssues,HighSchoolTech,Negative,Evening
Facebook,20,39, UK,14,MissedMoments,HighSchoolRegret,Negative,Afternoon
Instagram,23,42, USA,16,StudyStrategies,HighSchoolExams,Neutral,Evening
Twitter,26,50, Canada,12,EnvironmentalEfforts,HighSchoolCommunity,Neutral,Afternoon
Facebook,19,38, UK,18,BookClub,HighSchoolReads,Neutral,Evening
Instagram,21,43, USA,14,BakingAdventures,HighSchoolBakes,Neutral,Afternoon
Twitter,18,36, Canada,17,Teamwork,HighSchoolProjects,Neutral,Evening
Instagram,22,45, UK,20,SchoolClubs,HighSchoolInterests,Neutral,Night
Facebook,24,48, USA,15,CareerDevelopment,HighSchoolJobs,Neutral,Afternoon
Twitter,20,40, Canada,22,SchoolEvents,HighSchoolConnectivity,Neutral,Night
Instagram,25,49, UK,14,PhotographyJourney,HighSchoolHobbies,Neutral,Afternoon
Facebook,19,37, USA,16,ScienceFair,HighSchoolScience,Neutral,Evening
Twitter,23,44, Canada,18,EfficiencyGoals,HighSchoolSkills,Neutral,Evening
Instagram,20,39, UK,12,CommunityService,HighSchoolVolunteer,Neutral,Afternoon
Facebook,18,35, USA,17,TeamSpirit,HighSchoolProjects,Neutral,Evening
Twitter,22,43, Canada,20,DebateSkills,HighSchoolIntellect,Neutral,Night
Instagram,27,52, UK,15,SurpriseParty,HighSchoolCelebration,Positive,Afternoon
Twitter,24,48, USA,12,CodingTriumph,HighSchoolTech,Positive,Afternoon
Facebook,19,38, Canada,16,TalentShow,HighSchoolEntertainment,Positive,Evening
Instagram,21,42, UK,18,NatureAdventures,HighSchoolFriends,Positive,Evening
Twitter,26,50, USA,14,SportsTriumph,HighSchoolAthletics,Positive,Afternoon
Facebook,23,45, Canada,17,GlobalFriendship,HighSchoolCorrespondence,Positive,Evening
Instagram,22,43, UK,20,ArtCollaboration,HighSchoolCreativity,Positive,Night
Instagram,23,44, USA,16,ArtisticExpression,HighSchoolCreativity,Positive,Evening
Twitter,26,51, Canada,12,AthleticAchievement,HighSchoolSports,Positive,Afternoon
Facebook,20,39, UK,18,ScienceFairWinner,HighSchoolScience,Positive,Evening
Instagram,25,48, USA,14,SurpriseCelebration,HighSchoolFriendship,Positive,Afternoon
Twitter,22,42, Canada,17,CommunityGiving,HighSchoolPhilanthropy,Positive,Evening
Facebook,21,43, UK,20,CulturalCelebration,HighSchoolUnity,Positive,Night
Instagram,24,47, USA,15,VirtualEntertainment,HighSchoolPositivity,Positive,Afternoon
